year,category,sub_category,winner,entity,id
2017,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,The Boss Baby,tt3874544
2017,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,The Breadwinner,tt3901826
2017,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,TRUE,Coco,tt2380307
2017,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Ferdinand,tt3411444
2017,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Loving Vincent,tt3262342
2017,CINEMATOGRAPHY,CINEMATOGRAPHY,TRUE,Blade Runner 2049,tt1856101
2017,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Darkest Hour,tt4555426
2017,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Dunkirk,tt5013056
2017,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Mudbound,tt2396589
2017,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,The Shape of Water,tt5580390
2017,COSTUME DESIGN,COSTUME DESIGN,FALSE,Beauty and the Beast,tt11861230
2017,COSTUME DESIGN,COSTUME DESIGN,FALSE,Darkest Hour,tt4555426
2017,COSTUME DESIGN,COSTUME DESIGN,TRUE,Phantom Thread,tt5776858
2017,COSTUME DESIGN,COSTUME DESIGN,FALSE,The Shape of Water,tt5580390
2017,COSTUME DESIGN,COSTUME DESIGN,FALSE,Victoria & Abdul,tt5816682
2017,DIRECTING,DIRECTING,FALSE,Dunkirk,tt5013056
2017,DIRECTING,DIRECTING,FALSE,Get Out,tt5052448
2017,DIRECTING,DIRECTING,FALSE,Lady Bird,tt4925292
2017,DIRECTING,DIRECTING,FALSE,Phantom Thread,tt5776858
2017,DIRECTING,DIRECTING,TRUE,The Shape of Water,tt5580390
2017,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Abacus: Small Enough to Jail,
2017,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Faces Places,tt5598102
2017,DOCUMENTARY,DOCUMENTARY (Feature),TRUE,Icarus,tt6333060
2017,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Last Men in Aleppo,tt6333074
2017,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Strong Island,tt5873150
2017,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Edith+Eddie,tt6519356
2017,DOCUMENTARY,DOCUMENTARY (Short Subject),TRUE,Heaven Is a Traffic Jam on the 405,
2017,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Heroin(e),tt7389366
2017,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Knife Skills,tt5745110
2017,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Traffic Stop,tt7874708
2017,FILM EDITING,FILM EDITING,FALSE,Baby Driver,tt3890160
2017,FILM EDITING,FILM EDITING,TRUE,Dunkirk,tt5013056
2017,FILM EDITING,FILM EDITING,FALSE,"I, Tonya",
2017,FILM EDITING,FILM EDITING,FALSE,The Shape of Water,tt5580390
2017,FILM EDITING,FILM EDITING,FALSE,"Three Billboards Outside Ebbing, Missouri",
2017,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,TRUE,A Fantastic Woman,tt5639354
2017,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,The Insult,tt7048622
2017,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,Loveless,tt5286306
2017,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,On Body and Soul,tt5607714
2017,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,The Square,tt4995790
2017,MAKEUP,MAKEUP AND HAIRSTYLING,TRUE,Darkest Hour,tt4555426
2017,MAKEUP,MAKEUP AND HAIRSTYLING,FALSE,Victoria & Abdul,tt5816682
2017,MAKEUP,MAKEUP AND HAIRSTYLING,FALSE,Wonder,tt2543472
2017,MUSIC,MUSIC (Original Score),FALSE,Dunkirk,tt5013056
2017,MUSIC,MUSIC (Original Score),FALSE,Phantom Thread,tt5776858
2017,MUSIC,MUSIC (Original Score),TRUE,The Shape of Water,tt5580390
2017,MUSIC,MUSIC (Original Score),FALSE,Star Wars: The Last Jedi,
2017,MUSIC,MUSIC (Original Score),FALSE,"Three Billboards Outside Ebbing, Missouri",
2017,MUSIC,MUSIC (Original Song),FALSE,Mudbound,tt2396589
2017,MUSIC,MUSIC (Original Song),FALSE,Call Me by Your Name,tt5726616
2017,MUSIC,MUSIC (Original Song),TRUE,Coco,tt2380307
2017,MUSIC,MUSIC (Original Song),FALSE,Marshall,tt5301662
2017,MUSIC,MUSIC (Original Song),FALSE,The Greatest Showman,tt1485796
2017,BEST PICTURE,BEST PICTURE,FALSE,Call Me by Your Name,tt5726616
2017,BEST PICTURE,BEST PICTURE,FALSE,Darkest Hour,tt4555426
2017,BEST PICTURE,BEST PICTURE,FALSE,Dunkirk,tt5013056
2017,BEST PICTURE,BEST PICTURE,FALSE,Get Out,tt5052448
2017,BEST PICTURE,BEST PICTURE,FALSE,Lady Bird,tt4925292
2017,BEST PICTURE,BEST PICTURE,FALSE,Phantom Thread,tt5776858
2017,BEST PICTURE,BEST PICTURE,FALSE,The Post,tt6294822
2017,BEST PICTURE,BEST PICTURE,TRUE,The Shape of Water,tt5580390
