year,category,sub_category,winner,entity,
2017,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,The Boss Baby,
2017,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,The Breadwinner,
2017,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,TRUE,Coco,
2017,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Ferdinand,
2017,ANIMATED FEATURE FILM,ANIMATED FEATURE FILM,FALSE,Loving Vincent,
2017,CINEMATOGRAPHY,CINEMATOGRAPHY,TRUE,Blade Runner 2049,
2017,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Darkest Hour,
2017,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Dunkirk,
2017,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,Mudbound,
2017,CINEMATOGRAPHY,CINEMATOGRAPHY,FALSE,The Shape of Water,
2017,COSTUME DESIGN,COSTUME DESIGN,FALSE,Beauty and the Beast,
2017,COSTUME DESIGN,COSTUME DESIGN,FALSE,Darkest Hour,
2017,COSTUME DESIGN,COSTUME DESIGN,TRUE,Phantom Thread,
2017,COSTUME DESIGN,COSTUME DESIGN,FALSE,The Shape of Water,
2017,COSTUME DESIGN,COSTUME DESIGN,FALSE,Victoria & Abdul,
2017,DIRECTING,DIRECTING,FALSE,Dunkirk,
2017,DIRECTING,DIRECTING,FALSE,Get Out,
2017,DIRECTING,DIRECTING,FALSE,Lady Bird,
2017,DIRECTING,DIRECTING,FALSE,Phantom Thread,
2017,DIRECTING,DIRECTING,TRUE,The Shape of Water,
2017,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Abacus: Small Enough to Jail,
2017,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Faces Places,
2017,DOCUMENTARY,DOCUMENTARY (Feature),TRUE,Icarus,
2017,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Last Men in Aleppo,
2017,DOCUMENTARY,DOCUMENTARY (Feature),FALSE,Strong Island,
2017,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Edith+Eddie,
2017,DOCUMENTARY,DOCUMENTARY (Short Subject),TRUE,Heaven Is a Traffic Jam on the 405,
2017,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Heroin(e),
2017,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Knife Skills,
2017,DOCUMENTARY,DOCUMENTARY (Short Subject),FALSE,Traffic Stop,
2017,FILM EDITING,FILM EDITING,FALSE,Baby Driver,
2017,FILM EDITING,FILM EDITING,TRUE,Dunkirk,
2017,FILM EDITING,FILM EDITING,FALSE,"I, Tonya",
2017,FILM EDITING,FILM EDITING,FALSE,The Shape of Water,
2017,FILM EDITING,FILM EDITING,FALSE,"Three Billboards Outside Ebbing, Missouri",
2017,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,TRUE,A Fantastic Woman,
2017,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,The Insult,
2017,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,Loveless,
2017,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,On Body and Soul,
2017,FOREIGN LANGUAGE FILM,FOREIGN LANGUAGE FILM,FALSE,The Square,
2017,MAKEUP,MAKEUP AND HAIRSTYLING,TRUE,Darkest Hour,
2017,MAKEUP,MAKEUP AND HAIRSTYLING,FALSE,Victoria & Abdul,
2017,MAKEUP,MAKEUP AND HAIRSTYLING,FALSE,Wonder,
2017,MUSIC,MUSIC (Original Score),FALSE,Dunkirk,
2017,MUSIC,MUSIC (Original Score),FALSE,Phantom Thread,
2017,MUSIC,MUSIC (Original Score),TRUE,The Shape of Water,
2017,MUSIC,MUSIC (Original Score),FALSE,Star Wars: The Last Jedi,
2017,MUSIC,MUSIC (Original Score),FALSE,"Three Billboards Outside Ebbing, Missouri",
2017,MUSIC,MUSIC (Original Song),FALSE,Mudbound,
2017,MUSIC,MUSIC (Original Song),FALSE,Call Me by Your Name,
2017,MUSIC,MUSIC (Original Song),TRUE,Coco,
2017,MUSIC,MUSIC (Original Song),FALSE,Marshall,
2017,MUSIC,MUSIC (Original Song),FALSE,The Greatest Showman,
2017,BEST PICTURE,BEST PICTURE,FALSE,Call Me by Your Name,
2017,BEST PICTURE,BEST PICTURE,FALSE,Darkest Hour,
2017,BEST PICTURE,BEST PICTURE,FALSE,Dunkirk,
2017,BEST PICTURE,BEST PICTURE,FALSE,Get Out,
2017,BEST PICTURE,BEST PICTURE,FALSE,Lady Bird,
2017,BEST PICTURE,BEST PICTURE,FALSE,Phantom Thread,
2017,BEST PICTURE,BEST PICTURE,FALSE,The Post,
2017,BEST PICTURE,BEST PICTURE,TRUE,The Shape of Water,
2017,BEST PICTURE,BEST PICTURE,FALSE,"Three Billboards Outside Ebbing, Missouri",
2017,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,Beauty and the Beast,
2017,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,Blade Runner 2049,
2017,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,Darkest Hour,
2017,PRODUCTION DESIGN,PRODUCTION DESIGN,FALSE,Dunkirk,
2017,PRODUCTION DESIGN,PRODUCTION DESIGN,TRUE,The Shape of Water,
2017,SHORT FILM,SHORT FILM (Animated),TRUE,Dear Basketball,
2017,SHORT FILM,SHORT FILM (Animated),FALSE,Garden Party,
2017,SHORT FILM,SHORT FILM (Animated),FALSE,Lou,
2017,SHORT FILM,SHORT FILM (Animated),FALSE,Negative Space,
2017,SHORT FILM,SHORT FILM (Animated),FALSE,Revolting Rhymes,
